Time elapsed in miliseconds:
The Running time was: 228943 for the input size of 140
The Running time was: 1114 ms for the input size of 60
The Running time was: 0 ms for the input size of 0
The Running time was: 0 ms for the input size of 0
The Running time was: 1179 ms for the input size of 60
The Running time was: 1214 ms for the input size of 60
The Running time was: 1179 ms for the input size of 60
The Running time was: 1147 ms for the input size of 60
The Running time was: 13301 ms for the input size of 90
The Running time was: 13063 ms for the input size of 90
The Running time was: 25331 ms for the input size of 100
The Running time was: 6723 ms for the input size of 80
The Running time was: 6656 ms for the input size of 80
The Running time was: 6620 ms for the input size of 80
The Running time was: 3 ms for the input size of 20
The Running time was: 3 ms for the input size of 20
The Running time was: 2 ms for the input size of 20
The Running time was: 3 ms for the input size of 20
The Running time was: 1 ms for the input size of 20
The Running time was: 3 ms for the input size of 20
The Running time was: 1137 ms for the input size of 60
The Running time was: 1192 ms for the input size of 60
The Running time was: 1167 ms for the input size of 60
The Running time was: 1661 ms for the input size of 60
The Running time was: 1230 ms for the input size of 60
The Running time was: 1215 ms for the input size of 60
The Running time was: 1266 ms for the input size of 60
The Running time was: 0 ms for the input size of 7
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 7
The Running time was: 0 ms for the input size of 7
The Running time was: 64799 ms for the input size of 7
The Running time was: 1 ms for the input size of 7
The Running time was: 0 ms for the input size of 7
The Running time was: 3178 ms for the input size of 7
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 6
The Running time was: 0 ms for the input size of 7
